taxonid_iucn,scientific_name,subspecies,rank,subpopulation,threatCategory,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,assessment_date,category,criteria,population_trend,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason,decimalLongitude,decimalLatitude,climate
18,Abrocoma boliviensis,,,,CR,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ABROCOMIDAE,Abrocoma,Bolivian Chinchilla Rat,"Glanz &amp; Anderson, 1990",2016,2016-03-01,CR,"B1ab(i,ii,iii)",Decreasing,False,False,True,"Bernal, N.","Amori, G.",,,2270.0,1800.0,,,,,,,-64.4833,-17.9,Aw Tropical-Savanna
195,Achatinella pupukanioe,,,,CR,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Achatinella,,"Pilsbry &amp; Cooke, 1914",1996,1996-08-01,CR,"A1ce, B1+2abcde",,False,False,True,"Hadfield, M. & Hadway, L.",,,,,,,,,,,,-157.882181,21.405552,Aw Tropical-Savanna
232,Acipenser gueldenstaedtii,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Russian Sturgeon,"Brandt &amp; Ratzeburg, 1833",2010,2009-10-24,CR,A2bcde,Decreasing,True,True,False,"Gessner, J., Freyhof, J. & Kottelat, M.","Pourkazemi, M. & Smith, K.",,,,,,,,,,,49.9,37.2,Csa Temperate-Dry_Summer-Hot_Summer
230,Acipenser sturio,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,Atlantic Sturgeon,"Linnaeus, 1758",2010,2009-10-24,CR,"A2cde; B2ab(ii,iii,v)",Decreasing,True,True,False,"Gesner, J., Williot, P., Rochard, E., Freyhof, J. & Kottelat, M.","Pourkazemi, M. & Smith, K.",10,,,,,,,,,,-4.737883,50.272691,
22714826,Acrocephalus rimitarae,,,,CR,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,Rimatara Reed-warbler,"(Murphy &amp; Mathews, 1929)",2021,2020-04-08,CR,B1ab(v),Decreasing,False,True,True,BirdLife International,"Clark, J.",16,16,,,,,,,,,-152.797,-22.652,
135503,Alburnus vistonicus,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Alburnus,Vistonida shemaya,"Freyhof &amp; Kottelat, 2007",2008,2008-01-01,CR,"B2ab(ii,iii)",Unknown,False,True,False,"Freyhof, J. & Kottelat, M.","Bogutskaya, N., & Smith, K. (IUCN Freshwater Biodiversity Unit)",,,,,,,,,,,25.108455,41.007507,Csb Temperate-Dry_Summer-Warm_Summer
56088,Alexteroon jynx,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Alexteroon,,"Amiet, 2000",2018,2017-03-22,CR,B1ab(iii),Decreasing,False,True,True,IUCN SSC Amphibian Specialist Group,"Stuart, S.N.",,59.28,1050.0,800.0,,,,,,,9.979,4.991,Am Tropical-Monsoon
881,Allotoca maculata,,,,CR,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,GOODEIDAE,Allotoca,Blackspot Allotoca,"Smith &amp; Miller, 1980",2019,2018-04-18,CR,"B1ab(i,ii,iii,iv)c(ii)+2ab(i,ii,iii,iv)c(ii)",Decreasing,False,True,False,"Koeck, M.","Domínguez, O., Rivas, M., Arroyave, J. & Contreras MacBeath, T.",2-4,30-85,1400.0,1300.0,,,,,,,-104.083333,20.783333,BSh Arid-Steppe-Hot
892,Aloeides rossouwi,,,,CR,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Aloeides,Rossouw's Copper,"Henning &amp; Henning, 1982",2020,2018-02-20,CR,"B1ab(iii,v)+2ab(iii,v); C2a(ii)",Decreasing,False,False,True,"Henning, G.A.","Kirkman, S., Raimondo, D., Oberprieler, R.G. & Böhm, M.",8,8,,,,,,,,,29.816667,-25.416667,Cwb Temperate-Dry_Winter-Warm_Summer
56319,Alsodes pehuenche,,,,CR,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALSODIDAE,Alsodes,Pehuenche Spiny-chest Frog,"Cei, 1976",2019,2018-02-06,CR,"B1ab(ii,iii,iv,v)",Decreasing,False,True,False,IUCN SSC Amphibian Specialist Group,"Cox, N.A.",32,95.31,2523.0,2000.0,,,,,,,-70.221573,-35.826784,Csb Temperate-Dry_Summer-Warm_Summer
